"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000203362",27.8898782443159,-2.07812938425862,0.337044868935204,-6.16573511658513,7.01564408706683e-10,1.86565720902178e-08
"ENSG00000233251",15.5068096372921,-2.1726566208629,0.355462569991976,-6.11219521906888,9.82698653880635e-10,2.53239732411058e-08
"ENSG00000286827",30.0979983698962,-2.0899949898562,0.347237889863459,-6.01891398049341,1.75591144006718e-09,4.19247457276255e-08
"ENSG00000106278",16.2728810994786,-2.16645796271935,0.36101338700468,-6.00104605730663,1.96050365645349e-09,4.59855461530455e-08
"ENSG00000226321",17.6842740807967,-2.26607759286193,0.378773407304642,-5.98267341149257,2.1950461312642e-09,5.08601732292746e-08
"ENSG00000234906",23.2705432502442,-2.34436475461764,0.392108677451602,-5.97886476232601,2.24697997332972e-09,5.17038241531465e-08
"ENSG00000138109",14.1223654548147,-2.00042255039511,0.336296612312216,-5.94838745665962,2.7079697937651e-09,6.10461616959939e-08
"ENSG00000137880",26.1663252326514,-2.19147718596012,0.368514273944496,-5.94679050692672,2.73451014283681e-09,6.13708915208078e-08
"ENSG00000244479",15.4825329482529,-2.02814937088301,0.342313531335836,-5.92482968163253,3.12621230428982e-09,6.86170124053597e-08
"ENSG00000179066",32.4006896262316,-2.08736212062599,0.352739328653497,-5.9175769500782,3.267190176834e-09,7.10094204338653e-08
"ENSG00000283259",131.135484526905,-2.41813637382594,0.409072311908332,-5.91126874988257,3.39482616961423e-09,7.36633046543491e-08
"ENSG00000214146",151.684343308308,-2.09069978709949,0.354902475257815,-5.8909135124536,3.84066534722467e-09,8.17715076824269e-08
"ENSG00000134769",8.59107603135241,-2.16045246465075,0.368117976869311,-5.8689132300044,4.38660919190536e-09,9.17469297704163e-08
"ENSG00000170324",8.09036933538147,-2.24856172216323,0.384769197533275,-5.84392341325289,5.09854756955366e-09,1.04183971271723e-07
"ENSG00000175267",9.57871646419424,-2.05520205784705,0.35522056533552,-5.78570684922431,7.22080448843661e-09,1.39263997243791e-07
"ENSG00000064655",10.9583031951617,-2.17629708753276,0.377623586470831,-5.76313865315419,8.25639115907013e-09,1.55586844996169e-07
"ENSG00000181085",21.4562644586452,-2.18634914514373,0.383528671940561,-5.70061459572589,1.19376251381014e-08,2.15216481346312e-07
"ENSG00000260580",40.0391472634606,-2.37133483593083,0.419221975923621,-5.65651366607477,1.54478683895628e-08,2.66250906279619e-07
"ENSG00000173947",20.5491947740373,-2.18456546022673,0.388066685226039,-5.62935583855718,1.80883882747192e-08,3.04666999979878e-07
"ENSG00000212719",27.7230698416033,-2.12357224450603,0.377320874597334,-5.62802746275897,1.82282072962071e-08,3.0586197204958e-07
"ENSG00000121769",7.48014856596165,-2.24116797002715,0.398428723672537,-5.62501606151552,1.85490715018973e-08,3.10074378443887e-07
"ENSG00000228723",10.451419828062,-2.42345898889759,0.43598211641533,-5.55862017649579,2.71915703677035e-08,4.30253315925076e-07
"ENSG00000286805",45.1632891898551,-2.06078895790523,0.371303619916456,-5.55014507633649,2.85432633033313e-08,4.47390467047391e-07
"ENSG00000136918",14.026774702825,-2.12021085459619,0.382988893672195,-5.53595910906727,3.09529782097819e-08,4.7896228651443e-07
"ENSG00000224259",19.9003320617993,-2.00328050888249,0.366066364313212,-5.47245173055139,4.43851677153402e-08,6.51977496660945e-07
"ENSG00000132297",19.7339055824071,-2.1181921022361,0.400238532467767,-5.2923242776648,1.20771495449142e-07,1.50941710494271e-06
"ENSG00000184828",8.20845844447041,-2.16179868075029,0.410557991105997,-5.26551358780437,1.39797978652344e-07,1.70955974983776e-06
"ENSG00000099139",2838.47423110702,-2.65454679548826,0.510928635499506,-5.19553340926577,2.04133669981619e-07,2.37318750887008e-06
"ENSG00000140481",12.5678898213821,-2.35440698606912,0.454179876081809,-5.18386460972357,2.17334728230912e-07,2.50610835972127e-06
"ENSG00000254488",28.2777720198609,-2.13780912280312,0.413417016894835,-5.17107190908625,2.32754971187391e-07,2.66179783787949e-06
"ENSG00000164935",5.84474276060231,-2.0716122197242,0.413867797588332,-5.00549265199125,5.5719338527881e-07,5.4866869712266e-06
"ENSG00000149256",9.55537444093734,-2.06449349007699,0.41627552719401,-4.95943997475213,7.06966875938023e-07,6.70385742926853e-06
"ENSG00000160472",21.5568663099696,-2.32393565901116,0.475553133916761,-4.88680547612148,1.02485261646601e-06,9.1277016593426e-06
"ENSG00000187017",16.3662969034068,-2.33693487111433,0.481962068766479,-4.84879417398017,1.24214221661968e-06,1.06561885074204e-05
"ENSG00000133315",13.8368343793572,-2.18576763263795,0.45502405691803,-4.8036309276538,1.55813921228391e-06,1.28539249072809e-05
"ENSG00000106178",9.26318530078818,-2.09322208098263,0.440118830028553,-4.75603845635695,1.97428876255241e-06,1.56381980876848e-05
"ENSG00000250791",49.1572638811302,-2.0736924407096,0.446566901077416,-4.64363219868395,3.42336770140931e-06,2.49778356439629e-05
"ENSG00000267053",17.2413251635928,-2.09583406985972,0.457184112382636,-4.58422332074748,4.55677021146134e-06,3.15375841700257e-05
"ENSG00000257767",15.4695951222487,-2.50827300990946,0.547791992732212,-4.57887855826258,4.67475498760051e-06,3.21371314240463e-05
"ENSG00000243955",12.3235749671599,-2.19601608503025,0.480610164533085,-4.56922522053542,4.89530510239283e-06,3.34633914208208e-05
"ENSG00000253838",89.3677261121685,3.90144389813789,0.855596786564572,4.55990948002871,5.11756754930686e-06,3.47022201665865e-05
"ENSG00000225096",57.3560916094193,-2.23393727762703,0.490876626621322,-4.55091392923533,5.34133962172475e-06,3.59044741575372e-05
"ENSG00000260975",45.5089931243758,-2.19927618900935,0.497755458465497,-4.41838688377096,9.9440301085503e-06,5.96507488231498e-05
"ENSG00000287001",32.81381058203,-2.43881586293332,0.561744252270103,-4.34150568177183,1.41509618638573e-05,8.09503069610005e-05
"ENSG00000125804",22.7287048360091,-2.01562065192897,0.465885865744048,-4.32642584833499,1.51548304345145e-05,8.54093933498462e-05
"ENSG00000274827",95.1308525323524,-2.43408454427609,0.563966646555949,-4.31600797518904,1.58876241425268e-05,8.88253531057007e-05
"ENSG00000244734",212.584040131176,-2.25832003365904,0.527117204614384,-4.28428443217127,1.83328258952359e-05,0.000100431019491048
"ENSG00000236572",17.1418389985879,-2.50868208066122,0.600247445326713,-4.17941317400485,2.92262275652404e-05,0.000148959843095523
"ENSG00000198838",23.9905628788201,-2.13790737391667,0.512997282323036,-4.1674828455922,3.07981681667605e-05,0.00015572068101926
"ENSG00000119147",8.72350607669591,-2.3090470866625,0.555720504495496,-4.15505108770234,3.25214868974558e-05,0.000162827421997295
"ENSG00000284809",48.9602782323553,-2.54116348713586,0.626015534901647,-4.05926585757189,4.92272411914534e-05,0.000230526455298984
"ENSG00000178125",9.20469625761728,-2.16682884259954,0.536267623803303,-4.04057367333127,5.33206110790783e-05,0.000245215913498985
"ENSG00000278932",46.3962182152957,-2.10046766543861,0.522662869983333,-4.01878110359281,5.84999870770798e-05,0.000265371238620338
"ENSG00000229972",21.7507460221393,-2.14329909593661,0.540308243890077,-3.96680805849902,7.2841607520274e-05,0.000319969909987673
"ENSG00000235535",15.9303677847836,-2.25089168819107,0.569001026818026,-3.95586577546007,7.62579707434755e-05,0.000332347054044921
"ENSG00000185681",9.28147054517757,-2.04241707931839,0.520888676235297,-3.9210241506494,8.81734244889881e-05,0.000375434494875931
"ENSG00000124140",47.9704074734687,-2.13925379317855,0.560966372188425,-3.81351521096168,0.000137004089138764,0.000545948224871671
"ENSG00000243018",9.34631612646002,2.1742741333979,0.879922038551059,2.47098497155295,0.013474148107481,0.0272737883980507
