"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000035720",3.12211200246862,3.29411241320005,59.8851827023409,1.00555645129219e-14,5.16772605751637e-13
"ENSG00000134183",-2.12178869909088,4.25777420591726,59.400102363282,1.28662390238422e-14,6.49250215356958e-13
"ENSG00000249502",2.15844761790833,3.21558097080486,58.8100364756601,1.73653221124167e-14,8.56894124768454e-13
"ENSG00000162654",2.15309747221845,6.54673025105997,58.3415450183136,2.20341571120106e-14,1.05010649621001e-12
"ENSG00000174944",2.60758714680273,4.37308265425053,57.8284028754457,2.86009996848176e-14,1.33455375935182e-12
"ENSG00000119514",-2.12868706011343,3.15512202491182,56.6347271633606,5.24768546830242e-14,2.33156128854616e-12
"ENSG00000213689",2.0805777385387,5.17460760003662,56.2332762695813,6.4362962107564e-14,2.80381153681076e-12
"ENSG00000236255",-2.32782463435448,4.45567588114814,54.6502037442559,1.44009389351942e-13,6.06034984925608e-12
"ENSG00000004838",-2.35713263603107,4.92451908289032,53.8569641867296,2.15629429055416e-13,8.71267895951449e-12
"ENSG00000108700",3.84346950894171,7.15441722491872,53.7173564226307,2.31508987024032e-13,9.32053510213721e-12
"ENSG00000115155",3.05853283741527,4.17290878699064,53.1854157073062,3.03503819124676e-13,1.20023921662354e-11
"ENSG00000113140",-2.45033043422894,3.36529027613367,51.7820467337357,6.20162912511752e-13,2.32082442964129e-11
"ENSG00000130203",-2.00511397711459,7.66702055914312,51.2552316580415,8.11043000421899e-13,3.00490084408805e-11
"ENSG00000274422",-2.00536321510219,4.43491868351656,49.050190492803,2.49495997970689e-12,8.57371377811971e-11
